,Date,AveragePrice,Total Volume,4046,4225,4770,Total Bags,Small Bags,Large Bags,XLarge Bags,type,year,region
52,1/4/2016,1.03,149038.15,939.71,139735.9,132.35,8230.19,8056.43,173.76,0.0,conventional,2016,Albany
53,1/10/2016,1.28,79121.77,848.19,66696.97,109.08,11467.53,11293.65,173.88,0.0,conventional,2016,Albany
54,1/17/2016,1.26,119972.41,1202.52,100613.46,51.22,18105.21,17980.53,124.68,0.0,conventional,2016,Albany
55,1/24/2016,1.22,96089.13,545.37,70802.56,68.41,24672.79,23926.35,746.44,0.0,conventional,2016,Albany
56,1/31/2016,1.16,102038.32,1386.24,79881.67,69.46,20700.95,19788.78,912.17,0.0,conventional,2016,Albany
57,2/7/2016,1.07,169614.01,2031.67,157271.87,109.88,10200.59,9349.67,850.92,0.0,conventional,2016,Albany
58,2/14/2016,1.13,98008.16,1640.86,77133.01,12.0,19222.29,17663.46,1558.83,0.0,conventional,2016,Albany
59,2/21/2016,1.28,99817.47,869.16,84484.99,24.98,14438.34,12280.58,2158.0,0.0,conventional,2016,Albany
60,2/28/2016,1.26,87822.43,805.41,72159.95,63.13,14793.94,13739.89,1054.05,0.0,conventional,2016,Albany
61,3/6/2016,1.27,90633.66,972.34,74693.31,56.26,14911.75,14476.23,435.52,0.0,conventional,2016,Albany
62,3/13/2016,1.18,108264.9,847.64,96117.13,60.99,11239.14,10817.56,421.58,0.0,conventional,2016,Albany
63,3/20/2016,1.32,110401.88,764.97,97082.4,70.15,12484.36,12286.01,198.35,0.0,conventional,2016,Albany
64,3/27/2016,1.49,92529.27,808.5,78146.18,36.73,13537.86,13037.43,500.43,0.0,conventional,2016,Albany
65,4/3/2016,0.85,81694.23,676.27,70459.66,31.2,10527.1,10058.25,468.85,0.0,conventional,2016,Albany
66,4/10/2016,1.46,70253.3,972.15,56128.98,38.0,13114.17,12671.09,443.08,0.0,conventional,2016,Albany
67,4/17/2016,1.22,86433.63,898.63,70042.6,25.0,15467.4,14642.65,712.0,113.0,conventional,2016,Albany
68,4/24/2016,1.18,102490.2,954.6,87571.23,43.15,13921.22,13463.97,337.81,119.44,conventional,2016,Albany
69,5/1/2016,1.03,173781.78,884.01,163570.47,37.84,9289.46,8918.99,321.86,48.61,conventional,2016,Albany
70,5/8/2016,1.27,120194.49,1041.95,96137.78,84.8,22929.96,22697.54,232.42,0.0,conventional,2016,Albany
71,5/15/2016,1.36,96924.19,901.65,75847.91,82.97,20091.66,19802.87,288.79,0.0,conventional,2016,Albany
72,5/22/2016,1.34,98863.64,929.07,74678.36,59.07,23197.14,22571.49,20.65,605.0,conventional,2016,Albany
73,5/29/2016,1.49,127812.25,2580.77,104876.94,103.64,20250.9,19519.92,180.98,550.0,conventional,2016,Albany
