,Year,City,Age Range,Number in Range
9,2018,"Albany, NY",25 to 34 Years,15951
405,2018,"Atlanta, GA",25 to 34 Years,102941
1197,2018,"Boise City, ID",25 to 34 Years,34737
1593,2018,"Boston, MA",25 to 34 Years,171798
1989,2018,"Buffalo, NY",25 to 34 Years,47375
2385,2018,"Charlotte, NC",25 to 34 Years,157640
2781,2018,"Chicago, IL",25 to 34 Years,540134
3177,2018,"Cincinnati, OH",25 to 34 Years,58295
3573,2018,"Columbus, OH",25 to 34 Years,187258
3969,2018,"Dallas, TX",25 to 34 Years,249912
4365,2018,"Denver, CO",25 to 34 Years,167260
4761,2018,"Detroit, MI",25 to 34 Years,102047
5157,2018,"Grand Rapids, MI",25 to 34 Years,38939
5553,2018,"Harrisburg, PA",25 to 34 Years,8620
5949,2018,"Hartford, CT",25 to 34 Years,19964
6345,2018,"Houston, TX",25 to 34 Years,428263
6741,2018,"Indianapolis city (balance), IN",25 to 34 Years,147293
7137,2018,"Jacksonville, FL",25 to 34 Years,149930
7533,2018,"Las Vegas, NV",25 to 34 Years,90715
7929,2018,"Los Angeles, CA",25 to 34 Years,732538
8325,2018,"Miami, FL",25 to 34 Years,80956
8721,2018,"Nashville, NC",25 to 34 Years,649
9117,2018,"New Orleans, LA",25 to 34 Years,69532
9513,2018,"New York, NY",25 to 34 Years,1500032
9909,2018,"Orlando, FL",25 to 34 Years,69245
10305,2018,"Philadelphia, PA",25 to 34 Years,301903
10701,2018,"Phoenix, AZ",25 to 34 Years,279670
11097,2018,"Pittsburgh, PA",25 to 34 Years,62762
11493,2018,"Portland, OR",25 to 34 Years,127379
11889,2018,"Raleigh, NC",25 to 34 Years,87433
12285,2018,"Richmond, VA",25 to 34 Years,47292
12681,2018,"Roanoke, VA",25 to 34 Years,15320
13077,2018,"Sacramento, CA",25 to 34 Years,96884
13473,2018,"San Diego, CA",25 to 34 Years,266772
13869,2018,"San Francisco, CA",25 to 34 Years,207779
14265,2018,"Seattle, WA",25 to 34 Years,177548
14661,2018,"Spokane, WA",25 to 34 Years,35083
15057,2018,"St. Louis, MO",25 to 34 Years,60935
15453,2018,"Syracuse, NY",25 to 34 Years,22997
15849,2018,"Tampa, FL",25 to 34 Years,69950
