,Date,AveragePrice,Total Volume,4046,4225,4770,Total Bags,Small Bags,Large Bags,XLarge Bags,type,year,region
156,1/1/2018,1.47,113514.42,2622.7,101135.53,20.25,9735.94,5556.98,4178.96,0.0,conventional,2018,Albany
157,1/7/2018,1.13,98540.22,2940.63,76192.61,42.63,19364.35,8633.09,10707.93,23.33,conventional,2018,Albany
158,1/14/2018,1.42,95246.38,2897.41,76570.67,44.0,15734.3,10012.8,5721.5,0.0,conventional,2018,Albany
159,1/21/2018,1.69,135196.35,3133.37,116520.88,88.78,15453.32,10023.79,5429.53,0.0,conventional,2018,Albany
160,1/28/2018,1.57,93625.03,3101.17,74627.23,55.59,15841.04,11614.79,4159.58,66.67,conventional,2018,Albany
161,2/4/2018,1.03,216738.47,7625.65,195725.06,143.53,13244.23,10571.6,2422.63,250.0,conventional,2018,Albany
162,2/11/2018,1.45,121804.36,8183.48,95548.47,61.0,18011.41,13264.91,4295.39,451.11,conventional,2018,Albany
163,2/18/2018,1.43,85630.24,5499.73,61661.76,75.0,18393.75,15677.67,2336.08,380.0,conventional,2018,Albany
164,2/25/2018,1.28,104278.89,10368.77,59723.32,48.0,34138.8,30126.31,3702.49,310.0,conventional,2018,Albany
165,3/4/2018,1.08,139520.6,12002.12,105069.57,95.62,22353.29,16128.51,5941.45,283.33,conventional,2018,Albany
166,3/11/2018,1.12,144648.75,15823.35,110950.68,70.0,17804.72,14480.52,3033.09,291.11,conventional,2018,Albany
167,3/18/2018,1.35,105304.65,13234.86,61037.58,55.0,30977.21,26755.9,3721.31,500.0,conventional,2018,Albany
168,3/25/2018,1.57,149396.5,16361.69,109045.03,65.45,23924.33,19273.8,4270.53,380.0,conventional,2018,Albany
169,4/1/2018,1.28,114852.06,13885.18,74413.76,65.51,26487.61,20243.57,5536.26,707.78,conventional,2018,Albany
170,4/8/2018,1.04,143487.45,16436.56,106835.28,100.88,20114.73,16948.35,2704.16,462.22,conventional,2018,Albany
