,Year,City,Age Range,Number in Range
128,2013,"Albany, NY",45 to 54 Years,11181
129,2013,"Albany, NY",5 to 17 Years,12107
130,2013,"Albany, NY",55 to 59 Years,5421
131,2013,"Albany, NY",Under 5 Years,5117
132,2018,"Albany, NY",18 to 24 Years,21091
133,2018,"Albany, NY",75 Years & Over,5906
134,2018,"Albany, NY",45 to 54 Years,10514
135,2018,"Albany, NY",Under 5 Years,5491
136,2018,"Albany, NY",65 to 74 Years,6670
137,2018,"Albany, NY",35 to 44 Years,10400
138,2018,"Albany, NY",55 to 59 Years,5270
139,2018,"Albany, NY",5 to 17 Years,11803
140,2018,"Albany, NY",62 to 64 Years,2768
141,2018,"Albany, NY",25 to 34 Years,15951
142,2018,"Albany, NY",60 & 61 Years,2025
143,2017,"Albany, NY",5 to 17 Years,11584
144,2017,"Albany, NY",75 Years & Over,5788
145,2017,"Albany, NY",60 & 61 Years,2036
146,2017,"Albany, NY",25 to 34 Years,16607
147,2017,"Albany, NY",62 to 64 Years,2686
148,2017,"Albany, NY",18 to 24 Years,21560
149,2017,"Albany, NY",55 to 59 Years,5401
150,2017,"Albany, NY",35 to 44 Years,10337
151,2017,"Albany, NY",65 to 74 Years,6634
152,2017,"Albany, NY",Under 5 Years,5442
153,2017,"Albany, NY",45 to 54 Years,10423
154,2016,"Albany, NY",5 to 17 Years,11073
155,2016,"Albany, NY",18 to 24 Years,22069
156,2016,"Albany, NY",60 & 61 Years,2048
157,2016,"Albany, NY",75 Years & Over,5791
158,2016,"Albany, NY",45 to 54 Years,10974
159,2016,"Albany, NY",35 to 44 Years,10462
160,2016,"Albany, NY",62 to 64 Years,2621
161,2016,"Albany, NY",65 to 74 Years,6294
162,2016,"Albany, NY",55 to 59 Years,5520
163,2016,"Albany, NY",Under 5 Years,5368
164,2016,"Albany, NY",25 to 34 Years,16205
165,2015,"Albany, NY",25 to 34 Years,16221
166,2015,"Albany, NY",18 to 24 Years,21741
167,2015,"Albany, NY",55 to 59 Years,5631
168,2015,"Albany, NY",75 Years & Over,5779
169,2015,"Albany, NY",35 to 44 Years,10389
170,2015,"Albany, NY",60 & 61 Years,1915
171,2015,"Albany, NY",Under 5 Years,5334
172,2015,"Albany, NY",5 to 17 Years,11486
173,2015,"Albany, NY",45 to 54 Years,10787
174,2015,"Albany, NY",62 to 64 Years,2785
175,2015,"Albany, NY",65 to 74 Years,6400
176,2014,"Albany, NY",62 to 64 Years,2733
177,2014,"Albany, NY",5 to 17 Years,12170
178,2014,"Albany, NY",Under 5 Years,5152
179,2014,"Albany, NY",25 to 34 Years,16106
180,2014,"Albany, NY",55 to 59 Years,5582
181,2014,"Albany, NY",35 to 44 Years,10247
182,2014,"Albany, NY",75 Years & Over,5840
183,2014,"Albany, NY",60 & 61 Years,1928
184,2014,"Albany, NY",45 to 54 Years,11036
185,2014,"Albany, NY",18 to 24 Years,21375
186,2014,"Albany, NY",65 to 74 Years,6118
187,2013,"Albany, NY",75 Years & Over,6118
188,2013,"Albany, NY",65 to 74 Years,5966
189,2013,"Albany, NY",18 to 24 Years,21915
190,2013,"Albany, NY",62 to 64 Years,2533
191,2013,"Albany, NY",35 to 44 Years,10052
192,2013,"Albany, NY",25 to 34 Years,15759
193,2013,"Albany, NY",60 & 61 Years,1973
194,2013,"Albany, NY",45 to 54 Years,11181
195,2013,"Albany, NY",5 to 17 Years,12107
196,2013,"Albany, NY",55 to 59 Years,5421
197,2013,"Albany, NY",Under 5 Years,5117
198,2018,"Albany, NY",18 to 24 Years,21091
199,2018,"Albany, NY",75 Years & Over,5906
200,2018,"Albany, NY",45 to 54 Years,10514
201,2018,"Albany, NY",Under 5 Years,5491
202,2018,"Albany, NY",65 to 74 Years,6670
203,2018,"Albany, NY",35 to 44 Years,10400
204,2018,"Albany, NY",55 to 59 Years,5270
205,2018,"Albany, NY",5 to 17 Years,11803
206,2018,"Albany, NY",62 to 64 Years,2768
207,2018,"Albany, NY",25 to 34 Years,15951
208,2018,"Albany, NY",60 & 61 Years,2025
209,2017,"Albany, NY",5 to 17 Years,11584
210,2017,"Albany, NY",75 Years & Over,5788
211,2017,"Albany, NY",60 & 61 Years,2036
212,2017,"Albany, NY",25 to 34 Years,16607
213,2017,"Albany, NY",62 to 64 Years,2686
214,2017,"Albany, NY",18 to 24 Years,21560
215,2017,"Albany, NY",55 to 59 Years,5401
216,2017,"Albany, NY",35 to 44 Years,10337
217,2017,"Albany, NY",65 to 74 Years,6634
218,2017,"Albany, NY",Under 5 Years,5442
219,2017,"Albany, NY",45 to 54 Years,10423
220,2016,"Albany, NY",5 to 17 Years,11073
221,2016,"Albany, NY",18 to 24 Years,22069
222,2016,"Albany, NY",60 & 61 Years,2048
223,2016,"Albany, NY",75 Years & Over,5791
224,2016,"Albany, NY",45 to 54 Years,10974
225,2016,"Albany, NY",35 to 44 Years,10462
226,2016,"Albany, NY",62 to 64 Years,2621
227,2016,"Albany, NY",65 to 74 Years,6294
228,2016,"Albany, NY",55 to 59 Years,5520
229,2016,"Albany, NY",Under 5 Years,5368
230,2016,"Albany, NY",25 to 34 Years,16205
231,2015,"Albany, NY",25 to 34 Years,16221
232,2015,"Albany, NY",18 to 24 Years,21741
233,2015,"Albany, NY",55 to 59 Years,5631
234,2015,"Albany, NY",75 Years & Over,5779
235,2015,"Albany, NY",35 to 44 Years,10389
236,2015,"Albany, NY",60 & 61 Years,1915
237,2015,"Albany, NY",Under 5 Years,5334
238,2015,"Albany, NY",5 to 17 Years,11486
239,2015,"Albany, NY",45 to 54 Years,10787
240,2015,"Albany, NY",62 to 64 Years,2785
241,2015,"Albany, NY",65 to 74 Years,6400
242,2014,"Albany, NY",62 to 64 Years,2733
243,2014,"Albany, NY",5 to 17 Years,12170
244,2014,"Albany, NY",Under 5 Years,5152
245,2014,"Albany, NY",25 to 34 Years,16106
246,2014,"Albany, NY",55 to 59 Years,5582
247,2014,"Albany, NY",35 to 44 Years,10247
248,2014,"Albany, NY",75 Years & Over,5840
249,2014,"Albany, NY",60 & 61 Years,1928
250,2014,"Albany, NY",45 to 54 Years,11036
251,2014,"Albany, NY",18 to 24 Years,21375
252,2014,"Albany, NY",65 to 74 Years,6118
253,2013,"Albany, NY",75 Years & Over,6118
254,2013,"Albany, NY",65 to 74 Years,5966
255,2013,"Albany, NY",18 to 24 Years,21915
256,2013,"Albany, NY",62 to 64 Years,2533
257,2013,"Albany, NY",35 to 44 Years,10052
258,2013,"Albany, NY",25 to 34 Years,15759
259,2013,"Albany, NY",60 & 61 Years,1973
260,2013,"Albany, NY",45 to 54 Years,11181
261,2013,"Albany, NY",5 to 17 Years,12107
262,2013,"Albany, NY",55 to 59 Years,5421
263,2013,"Albany, NY",Under 5 Years,5117
264,2018,"Albany, NY",18 to 24 Years,21091
265,2018,"Albany, NY",75 Years & Over,5906
266,2018,"Albany, NY",45 to 54 Years,10514
267,2018,"Albany, NY",Under 5 Years,5491
268,2018,"Albany, NY",65 to 74 Years,6670
269,2018,"Albany, NY",35 to 44 Years,10400
270,2018,"Albany, NY",55 to 59 Years,5270
271,2018,"Albany, NY",5 to 17 Years,11803
272,2018,"Albany, NY",62 to 64 Years,2768
273,2018,"Albany, NY",25 to 34 Years,15951
274,2018,"Albany, NY",60 & 61 Years,2025
275,2017,"Albany, NY",5 to 17 Years,11584
276,2017,"Albany, NY",75 Years & Over,5788
277,2017,"Albany, NY",60 & 61 Years,2036
278,2017,"Albany, NY",25 to 34 Years,16607
279,2017,"Albany, NY",62 to 64 Years,2686
280,2017,"Albany, NY",18 to 24 Years,21560
281,2017,"Albany, NY",55 to 59 Years,5401
282,2017,"Albany, NY",35 to 44 Years,10337
283,2017,"Albany, NY",65 to 74 Years,6634
284,2017,"Albany, NY",Under 5 Years,5442
285,2017,"Albany, NY",45 to 54 Years,10423
286,2016,"Albany, NY",5 to 17 Years,11073
287,2016,"Albany, NY",18 to 24 Years,22069
288,2016,"Albany, NY",60 & 61 Years,2048
289,2016,"Albany, NY",75 Years & Over,5791
290,2016,"Albany, NY",45 to 54 Years,10974
291,2016,"Albany, NY",35 to 44 Years,10462
292,2016,"Albany, NY",62 to 64 Years,2621
293,2016,"Albany, NY",65 to 74 Years,6294
294,2016,"Albany, NY",55 to 59 Years,5520
295,2016,"Albany, NY",Under 5 Years,5368
296,2016,"Albany, NY",25 to 34 Years,16205
297,2015,"Albany, NY",25 to 34 Years,16221
298,2015,"Albany, NY",18 to 24 Years,21741
299,2015,"Albany, NY",55 to 59 Years,5631
300,2015,"Albany, NY",75 Years & Over,5779
301,2015,"Albany, NY",35 to 44 Years,10389
302,2015,"Albany, NY",60 & 61 Years,1915
303,2015,"Albany, NY",Under 5 Years,5334
304,2015,"Albany, NY",5 to 17 Years,11486
305,2015,"Albany, NY",45 to 54 Years,10787
306,2015,"Albany, NY",62 to 64 Years,2785
307,2015,"Albany, NY",65 to 74 Years,6400
308,2014,"Albany, NY",62 to 64 Years,2733
309,2014,"Albany, NY",5 to 17 Years,12170
310,2014,"Albany, NY",Under 5 Years,5152
311,2014,"Albany, NY",25 to 34 Years,16106
312,2014,"Albany, NY",55 to 59 Years,5582
313,2014,"Albany, NY",35 to 44 Years,10247
314,2014,"Albany, NY",75 Years & Over,5840
315,2014,"Albany, NY",60 & 61 Years,1928
316,2014,"Albany, NY",45 to 54 Years,11036
317,2014,"Albany, NY",18 to 24 Years,21375
318,2014,"Albany, NY",65 to 74 Years,6118
319,2013,"Albany, NY",75 Years & Over,6118
320,2013,"Albany, NY",65 to 74 Years,5966
321,2013,"Albany, NY",18 to 24 Years,21915
322,2013,"Albany, NY",62 to 64 Years,2533
323,2013,"Albany, NY",35 to 44 Years,10052
324,2013,"Albany, NY",25 to 34 Years,15759
325,2013,"Albany, NY",60 & 61 Years,1973
326,2013,"Albany, NY",45 to 54 Years,11181
327,2013,"Albany, NY",5 to 17 Years,12107
328,2013,"Albany, NY",55 to 59 Years,5421
329,2013,"Albany, NY",Under 5 Years,5117
330,2018,"Albany, NY",18 to 24 Years,21091
331,2018,"Albany, NY",75 Years & Over,5906
332,2018,"Albany, NY",45 to 54 Years,10514
333,2018,"Albany, NY",Under 5 Years,5491
334,2018,"Albany, NY",65 to 74 Years,6670
335,2018,"Albany, NY",35 to 44 Years,10400
336,2018,"Albany, NY",55 to 59 Years,5270
337,2018,"Albany, NY",5 to 17 Years,11803
338,2018,"Albany, NY",62 to 64 Years,2768
339,2018,"Albany, NY",25 to 34 Years,15951
340,2018,"Albany, NY",60 & 61 Years,2025
341,2017,"Albany, NY",5 to 17 Years,11584
342,2017,"Albany, NY",75 Years & Over,5788
343,2017,"Albany, NY",60 & 61 Years,2036
344,2017,"Albany, NY",25 to 34 Years,16607
345,2017,"Albany, NY",62 to 64 Years,2686
346,2017,"Albany, NY",18 to 24 Years,21560
347,2017,"Albany, NY",55 to 59 Years,5401
348,2017,"Albany, NY",35 to 44 Years,10337
349,2017,"Albany, NY",65 to 74 Years,6634
350,2017,"Albany, NY",Under 5 Years,5442
351,2017,"Albany, NY",45 to 54 Years,10423
352,2016,"Albany, NY",5 to 17 Years,11073
353,2016,"Albany, NY",18 to 24 Years,22069
354,2016,"Albany, NY",60 & 61 Years,2048
355,2016,"Albany, NY",75 Years & Over,5791
356,2016,"Albany, NY",45 to 54 Years,10974
357,2016,"Albany, NY",35 to 44 Years,10462
358,2016,"Albany, NY",62 to 64 Years,2621
359,2016,"Albany, NY",65 to 74 Years,6294
360,2016,"Albany, NY",55 to 59 Years,5520
361,2016,"Albany, NY",Under 5 Years,5368
362,2016,"Albany, NY",25 to 34 Years,16205
363,2015,"Albany, NY",25 to 34 Years,16221
364,2015,"Albany, NY",18 to 24 Years,21741
365,2015,"Albany, NY",55 to 59 Years,5631
366,2015,"Albany, NY",75 Years & Over,5779
367,2015,"Albany, NY",35 to 44 Years,10389
368,2015,"Albany, NY",60 & 61 Years,1915
369,2015,"Albany, NY",Under 5 Years,5334
370,2015,"Albany, NY",5 to 17 Years,11486
371,2015,"Albany, NY",45 to 54 Years,10787
372,2015,"Albany, NY",62 to 64 Years,2785
373,2015,"Albany, NY",65 to 74 Years,6400
374,2014,"Albany, NY",62 to 64 Years,2733
375,2014,"Albany, NY",5 to 17 Years,12170
376,2014,"Albany, NY",Under 5 Years,5152
377,2014,"Albany, NY",25 to 34 Years,16106
378,2014,"Albany, NY",55 to 59 Years,5582
379,2014,"Albany, NY",35 to 44 Years,10247
380,2014,"Albany, NY",75 Years & Over,5840
381,2014,"Albany, NY",60 & 61 Years,1928
382,2014,"Albany, NY",45 to 54 Years,11036
383,2014,"Albany, NY",18 to 24 Years,21375
384,2014,"Albany, NY",65 to 74 Years,6118
385,2013,"Albany, NY",75 Years & Over,6118
386,2013,"Albany, NY",65 to 74 Years,5966
387,2013,"Albany, NY",18 to 24 Years,21915
388,2013,"Albany, NY",62 to 64 Years,2533
389,2013,"Albany, NY",35 to 44 Years,10052
390,2013,"Albany, NY",25 to 34 Years,15759
391,2013,"Albany, NY",60 & 61 Years,1973
392,2013,"Albany, NY",45 to 54 Years,11181
393,2013,"Albany, NY",5 to 17 Years,12107
394,2013,"Albany, NY",55 to 59 Years,5421
395,2013,"Albany, NY",Under 5 Years,5117
396,2018,"Atlanta, GA",18 to 24 Years,69619
397,2018,"Atlanta, GA",75 Years & Over,23942
398,2018,"Atlanta, GA",45 to 54 Years,55802
399,2018,"Atlanta, GA",Under 5 Years,32306
400,2018,"Atlanta, GA",65 to 74 Years,31361
401,2018,"Atlanta, GA",35 to 44 Years,71276
402,2018,"Atlanta, GA",55 to 59 Years,28400
403,2018,"Atlanta, GA",5 to 17 Years,59649
404,2018,"Atlanta, GA",62 to 64 Years,13087
405,2018,"Atlanta, GA",25 to 34 Years,102941
406,2018,"Atlanta, GA",60 & 61 Years,9690
407,2017,"Atlanta, GA",5 to 17 Years,65365
408,2017,"Atlanta, GA",75 Years & Over,22260
409,2017,"Atlanta, GA",60 & 61 Years,12315
410,2017,"Atlanta, GA",25 to 34 Years,100614
411,2017,"Atlanta, GA",62 to 64 Years,11759
412,2017,"Atlanta, GA",18 to 24 Years,65165
413,2017,"Atlanta, GA",55 to 59 Years,23347
414,2017,"Atlanta, GA",35 to 44 Years,66600
415,2017,"Atlanta, GA",65 to 74 Years,32410
416,2017,"Atlanta, GA",Under 5 Years,26654
417,2017,"Atlanta, GA",45 to 54 Years,59810
418,2016,"Atlanta, GA",5 to 17 Years,65056
419,2016,"Atlanta, GA",18 to 24 Years,60382
420,2016,"Atlanta, GA",60 & 61 Years,8809
421,2016,"Atlanta, GA",75 Years & Over,20257
422,2016,"Atlanta, GA",45 to 54 Years,57711
423,2016,"Atlanta, GA",35 to 44 Years,64754
424,2016,"Atlanta, GA",62 to 64 Years,10140
425,2016,"Atlanta, GA",65 to 74 Years,32065
426,2016,"Atlanta, GA",55 to 59 Years,25126
427,2016,"Atlanta, GA",Under 5 Years,26419
428,2016,"Atlanta, GA",25 to 34 Years,101787
429,2015,"Atlanta, GA",25 to 34 Years,97769
430,2015,"Atlanta, GA",18 to 24 Years,60644
431,2015,"Atlanta, GA",55 to 59 Years,25379
432,2015,"Atlanta, GA",75 Years & Over,22782
433,2015,"Atlanta, GA",35 to 44 Years,68423
434,2015,"Atlanta, GA",60 & 61 Years,8634
435,2015,"Atlanta, GA",Under 5 Years,24623
436,2015,"Atlanta, GA",5 to 17 Years,58430
437,2015,"Atlanta, GA",45 to 54 Years,52795
438,2015,"Atlanta, GA",62 to 64 Years,12461
439,2015,"Atlanta, GA",65 to 74 Years,31935
440,2014,"Atlanta, GA",62 to 64 Years,13270
441,2014,"Atlanta, GA",5 to 17 Years,54956
442,2014,"Atlanta, GA",Under 5 Years,30436
443,2014,"Atlanta, GA",25 to 34 Years,91529
444,2014,"Atlanta, GA",55 to 59 Years,24938
445,2014,"Atlanta, GA",35 to 44 Years,62711
446,2014,"Atlanta, GA",75 Years & Over,19654
447,2014,"Atlanta, GA",60 & 61 Years,7770
448,2014,"Atlanta, GA",45 to 54 Years,54984
449,2014,"Atlanta, GA",18 to 24 Years,63635
450,2014,"Atlanta, GA",65 to 74 Years,32129
451,2013,"Atlanta, GA",75 Years & Over,19729
452,2013,"Atlanta, GA",65 to 74 Years,28197
453,2013,"Atlanta, GA",18 to 24 Years,66086
454,2013,"Atlanta, GA",62 to 64 Years,11518
455,2013,"Atlanta, GA",35 to 44 Years,65466
456,2013,"Atlanta, GA",25 to 34 Years,87346
457,2013,"Atlanta, GA",60 & 61 Years,7835
458,2013,"Atlanta, GA",45 to 54 Years,55960
459,2013,"Atlanta, GA",5 to 17 Years,57728
460,2013,"Atlanta, GA",55 to 59 Years,20459
461,2013,"Atlanta, GA",Under 5 Years,27524
462,2018,"Atlanta, GA",18 to 24 Years,69619
463,2018,"Atlanta, GA",75 Years & Over,23942
464,2018,"Atlanta, GA",45 to 54 Years,55802
465,2018,"Atlanta, GA",Under 5 Years,32306
466,2018,"Atlanta, GA",65 to 74 Years,31361
467,2018,"Atlanta, GA",35 to 44 Years,71276
468,2018,"Atlanta, GA",55 to 59 Years,28400
469,2018,"Atlanta, GA",5 to 17 Years,59649
470,2018,"Atlanta, GA",62 to 64 Years,13087
471,2018,"Atlanta, GA",25 to 34 Years,102941
472,2018,"Atlanta, GA",60 & 61 Years,9690
473,2017,"Atlanta, GA",5 to 17 Years,65365
474,2017,"Atlanta, GA",75 Years & Over,22260
475,2017,"Atlanta, GA",60 & 61 Years,12315
476,2017,"Atlanta, GA",25 to 34 Years,100614
477,2017,"Atlanta, GA",62 to 64 Years,11759
478,2017,"Atlanta, GA",18 to 24 Years,65165
479,2017,"Atlanta, GA",55 to 59 Years,23347
480,2017,"Atlanta, GA",35 to 44 Years,66600
481,2017,"Atlanta, GA",65 to 74 Years,32410
482,2017,"Atlanta, GA",Under 5 Years,26654
483,2017,"Atlanta, GA",45 to 54 Years,59810
484,2016,"Atlanta, GA",5 to 17 Years,65056
485,2016,"Atlanta, GA",18 to 24 Years,60382
486,2016,"Atlanta, GA",60 & 61 Years,8809
487,2016,"Atlanta, GA",75 Years & Over,20257
488,2016,"Atlanta, GA",45 to 54 Years,57711
489,2016,"Atlanta, GA",35 to 44 Years,64754
490,2016,"Atlanta, GA",62 to 64 Years,10140
491,2016,"Atlanta, GA",65 to 74 Years,32065
492,2016,"Atlanta, GA",55 to 59 Years,25126
493,2016,"Atlanta, GA",Under 5 Years,26419
494,2016,"Atlanta, GA",25 to 34 Years,101787
495,2015,"Atlanta, GA",25 to 34 Years,97769
496,2015,"Atlanta, GA",18 to 24 Years,60644
497,2015,"Atlanta, GA",55 to 59 Years,25379
498,2015,"Atlanta, GA",75 Years & Over,22782
499,2015,"Atlanta, GA",35 to 44 Years,68423
500,2015,"Atlanta, GA",60 & 61 Years,8634
501,2015,"Atlanta, GA",Under 5 Years,24623
502,2015,"Atlanta, GA",5 to 17 Years,58430
503,2015,"Atlanta, GA",45 to 54 Years,52795
504,2015,"Atlanta, GA",62 to 64 Years,12461
505,2015,"Atlanta, GA",65 to 74 Years,31935
506,2014,"Atlanta, GA",62 to 64 Years,13270
507,2014,"Atlanta, GA",5 to 17 Years,54956
508,2014,"Atlanta, GA",Under 5 Years,30436
509,2014,"Atlanta, GA",25 to 34 Years,91529
510,2014,"Atlanta, GA",55 to 59 Years,24938
511,2014,"Atlanta, GA",35 to 44 Years,62711
512,2014,"Atlanta, GA",75 Years & Over,19654
513,2014,"Atlanta, GA",60 & 61 Years,7770
514,2014,"Atlanta, GA",45 to 54 Years,54984
515,2014,"Atlanta, GA",18 to 24 Years,63635
516,2014,"Atlanta, GA",65 to 74 Years,32129
517,2013,"Atlanta, GA",75 Years & Over,19729
518,2013,"Atlanta, GA",65 to 74 Years,28197
519,2013,"Atlanta, GA",18 to 24 Years,66086
520,2013,"Atlanta, GA",62 to 64 Years,11518
521,2013,"Atlanta, GA",35 to 44 Years,65466
522,2013,"Atlanta, GA",25 to 34 Years,87346
523,2013,"Atlanta, GA",60 & 61 Years,7835
524,2013,"Atlanta, GA",45 to 54 Years,55960
525,2013,"Atlanta, GA",5 to 17 Years,57728
526,2013,"Atlanta, GA",55 to 59 Years,20459
527,2013,"Atlanta, GA",Under 5 Years,27524
528,2018,"Atlanta, GA",18 to 24 Years,69619
529,2018,"Atlanta, GA",75 Years & Over,23942
530,2018,"Atlanta, GA",45 to 54 Years,55802
531,2018,"Atlanta, GA",Under 5 Years,32306
532,2018,"Atlanta, GA",65 to 74 Years,31361
533,2018,"Atlanta, GA",35 to 44 Years,71276
534,2018,"Atlanta, GA",55 to 59 Years,28400
535,2018,"Atlanta, GA",5 to 17 Years,59649
536,2018,"Atlanta, GA",62 to 64 Years,13087
537,2018,"Atlanta, GA",25 to 34 Years,102941
538,2018,"Atlanta, GA",60 & 61 Years,9690
539,2017,"Atlanta, GA",5 to 17 Years,65365
540,2017,"Atlanta, GA",75 Years & Over,22260
541,2017,"Atlanta, GA",60 & 61 Years,12315
542,2017,"Atlanta, GA",25 to 34 Years,100614
543,2017,"Atlanta, GA",62 to 64 Years,11759
544,2017,"Atlanta, GA",18 to 24 Years,65165
545,2017,"Atlanta, GA",55 to 59 Years,23347
546,2017,"Atlanta, GA",35 to 44 Years,66600
547,2017,"Atlanta, GA",65 to 74 Years,32410
548,2017,"Atlanta, GA",Under 5 Years,26654
549,2017,"Atlanta, GA",45 to 54 Years,59810
